,RunId,iteration,Step,width,height,sheep_reproduce,wolf_reproduce,wolf_gain_from_food,grass,grass_regrowth_time,sheep_gain_from_food,initial_sheep,initial_wolves,escapeRange,Wolves,Sheep
0,0,0,0,20,20,0.04,0.05,20,True,30,4,100,50,0.25,50,100
1,0,0,10,20,20,0.04,0.05,20,True,30,4,100,50,0.25,58,40
2,0,0,20,20,20,0.04,0.05,20,True,30,4,100,50,0.25,32,14
3,0,0,30,20,20,0.04,0.05,20,True,30,4,100,50,0.25,12,6
4,0,0,40,20,20,0.04,0.05,20,True,30,4,100,50,0.25,6,4
5,0,0,50,20,20,0.04,0.05,20,True,30,4,100,50,0.25,0,4
6,0,0,60,20,20,0.04,0.05,20,True,30,4,100,50,0.25,0,5
7,0,0,70,20,20,0.04,0.05,20,True,30,4,100,50,0.25,0,7
8,0,0,80,20,20,0.04,0.05,20,True,30,4,100,50,0.25,0,11
9,0,0,90,20,20,0.04,0.05,20,True,30,4,100,50,0.25,0,16
10,0,0,100,20,20,0.04,0.05,20,True,30,4,100,50,0.25,0,17
11,1,0,0,20,20,0.04,0.05,20,True,30,4,50,100,0.25,100,50
12,1,0,10,20,20,0.04,0.05,20,True,30,4,50,100,0.25,105,20
13,1,0,20,20,20,0.04,0.05,20,True,30,4,50,100,0.25,39,9
14,1,0,30,20,20,0.04,0.05,20,True,30,4,50,100,0.25,7,6
15,1,0,40,20,20,0.04,0.05,20,True,30,4,50,100,0.25,4,7
16,1,0,50,20,20,0.04,0.05,20,True,30,4,50,100,0.25,1,9
17,1,0,60,20,20,0.04,0.05,20,True,30,4,50,100,0.25,0,9
18,1,0,70,20,20,0.04,0.05,20,True,30,4,50,100,0.25,0,10
19,1,0,80,20,20,0.04,0.05,20,True,30,4,50,100,0.25,0,16
20,1,0,90,20,20,0.04,0.05,20,True,30,4,50,100,0.25,0,15
21,1,0,100,20,20,0.04,0.05,20,True,30,4,50,100,0.25,0,19
22,2,0,0,20,20,0.04,0.05,20,True,30,4,50,50,0.25,50,50
23,2,0,10,20,20,0.04,0.05,20,True,30,4,50,50,0.25,54,32
24,2,0,20,20,20,0.04,0.05,20,True,30,4,50,50,0.25,29,16
25,2,0,30,20,20,0.04,0.05,20,True,30,4,50,50,0.25,10,11
26,2,0,40,20,20,0.04,0.05,20,True,30,4,50,50,0.25,1,16
27,2,0,50,20,20,0.04,0.05,20,True,30,4,50,50,0.25,0,21
